Frame,time,roll,pitch,airSpeed,altitude282,30,-10.0,6.0,0.25,140.5
283,60,-11.0,6.0,0.5,141.0
284,92,-12.0,6.0,0.75,141.5
285,124,-13.0,6.0,1.0,142.0
286,156,-14.0,6.0,1.25,142.5
287,188,-15.0,6.0,1.5,143.0
288,219,-16.0,6.0,1.75,143.5
289,252,-17.0,6.0,2.0,144.0
290,283,-18.0,6.0,2.25,144.5
291,315,-19.0,6.0,2.5,145.0
292,347,-20.0,6.0,2.75,145.5
293,395,-21.0,6.0,3.0,146.0
294,427,-22.0,6.0,3.25,146.5
295,459,-23.0,6.0,3.5,147.0
296,491,-24.0,6.0,3.75,147.5
297,524,-25.0,6.0,4.0,148.0
298,556,-26.0,6.0,4.25,148.5
299,587,-27.0,6.0,4.5,149.0
300,619,-28.0,6.0,4.75,149.5
301,651,-29.0,6.0,5.0,150.0
302,683,-30.0,6.0,5.25,150.5
303,716,-31.0,6.0,5.5,151.0
304,748,-32.0,6.0,5.75,151.5
305,779,-33.0,6.0,6.0,152.0
306,828,-34.0,6.0,6.25,152.5
307,859,-35.0,6.0,6.5,153.0
308,891,-36.0,6.0,6.75,153.5
309,923,-37.0,6.0,7.0,154.0
310,955,-38.0,6.0,7.25,154.5
311,991,-39.0,6.0,7.5,155.0
312,1020,-40.0,6.0,7.75,0.0
313,1052,-41.0,6.0,8.0,0.5
314,1084,-42.0,6.0,8.25,1.0
315,1116,-43.0,6.0,8.5,1.5
316,1148,-44.0,6.0,8.75,2.0
317,1180,-45.0,6.0,9.0,2.5
318,1228,-46.0,6.0,9.25,3.0
319,1260,-45.0,6.0,9.5,3.5
320,1292,-44.0,6.0,9.75,4.0
321,1324,-43.0,6.0,10.0,4.5
322,1356,-42.0,6.0,10.25,5.0
323,1388,-41.0,6.0,10.5,5.5
324,1420,-40.0,6.0,10.75,6.0
325,1452,-39.0,6.0,11.0,6.5
326,1484,-38.0,6.0,11.25,7.0
327,1515,-37.0,6.0,11.5,7.5
328,1547,-36.0,6.0,11.75,8.0
329,1580,-35.0,6.0,12.0,8.5
330,1614,-34.0,6.0,12.25,9.0
331,1660,-33.0,6.0,12.5,9.5
332,1692,-32.0,6.0,12.75,10.0
333,1726,-31.0,6.0,13.0,10.5
334,1756,-30.0,6.0,13.25,11.0
335,1788,-29.0,6.0,13.5,11.5
336,1820,-28.0,6.0,13.75,12.0
337,1853,-27.0,6.0,14.0,12.5
338,1885,-26.0,6.0,14.25,13.0
339,1917,-25.0,6.0,14.5,13.5
340,1948,-24.0,6.0,14.75,14.0
341,1982,-23.0,6.0,15.0,14.5
342,2012,-22.0,6.0,15.25,15.0
343,2059,-21.0,6.0,15.5,15.5
344,2091,-20.0,6.0,15.75,16.0
345,2124,-19.0,6.0,16.0,16.5
346,2155,-18.0,6.0,16.25,17.0
347,2191,-17.0,6.0,16.5,17.5
348,2220,-16.0,6.0,16.75,18.0
349,2251,-15.0,6.0,17.0,18.5
350,2283,-14.0,6.0,17.25,19.0
351,2316,-13.0,6.0,17.5,19.5
352,2348,-12.0,6.0,17.75,20.0
353,2381,-11.0,6.0,18.0,20.5
354,2412,-10.0,6.0,18.25,21.0
355,2463,-9.0,6.0,18.5,21.5
356,2492,-8.0,6.0,18.75,22.0
357,2524,-7.0,6.0,19.0,22.5
358,2556,-6.0,6.0,19.25,23.0
359,2590,-5.0,6.0,19.5,23.5
360,2621,-4.0,6.0,19.75,24.0
361,2651,-3.0,6.0,20.0,24.5
362,2683,-2.0,6.0,20.25,25.0
363,2716,-1.0,6.0,20.5,25.5
364,2747,0.0,6.0,20.75,26.0
365,2780,1.0,6.0,21.0,26.5
366,2812,2.0,6.0,21.25,27.0
367,2843,3.0,6.0,21.5,27.5
368,2896,4.0,6.0,21.75,28.0
369,2923,5.0,6.0,22.0,28.5
370,2956,6.0,6.0,22.25,29.0
371,2987,7.0,6.0,22.5,29.5
372,3019,8.0,6.0,22.75,30.0
373,3052,9.0,6.0,23.0,30.5
374,3083,10.0,6.0,23.25,31.0
375,3116,11.0,6.0,23.5,31.5
376,3147,12.0,6.0,23.75,32.0
377,3179,13.0,6.0,24.0,32.5
378,3212,14.0,6.0,24.25,33.0
379,3244,15.0,6.0,24.5,33.5
380,3296,16.0,6.0,24.75,34.0
